employee_key,employee_name,gender,hire_date
1,Univ.Prof. Erika Wiek,F,2016-12-08
2,Prof. Carin Etzler,F,2019-07-31
3,Ulrich Ernst,M,2018-11-18
4,Clemens Klemm,M,2022-12-20
5,Veronika Otto,M,2025-09-10
6,Patrik Schmiedt B.A.,M,2021-03-08
7,Ignatz Ring,M,2023-01-22
8,Carl-Heinz Wulf,F,2017-05-12
9,Alexandra Spieß MBA.,M,2023-11-07
10,Heribert Ortmann,M,2020-09-02
11,Ing. Ferdi Trub,M,2024-06-25
12,Nadia Möchlichen,F,2024-05-06
13,Annegret Dobes B.A.,M,2019-06-05
14,Rosalie Wende,F,2024-07-24
15,Prof. Sarina Neuschäfer,M,2023-02-06
16,Carmelo Huhn,F,2018-04-11
17,Frida Schinke,M,2017-09-27
18,Dr. Lea Holt,M,2023-06-02
19,Gundi Peukert,F,2025-10-30
20,Ronald Aumann,F,2018-04-21
21,Drago Kensy,M,2024-03-02
22,Johanna Trub,M,2021-09-18
23,Cordula Stiffel-Gotthard,M,2020-12-05
24,Ing. Amalia Gotthard MBA.,F,2023-02-12
25,Hans-Ludwig Jäkel-Gorlitz,M,2022-07-03
26,Dierk Heinz,F,2017-04-09
27,Rosemarie Fröhlich B.Sc.,M,2021-08-30
28,Dipl.-Ing. Valeri Walter,F,2021-01-19
29,Lara Nohlmans,F,2025-01-27
30,Leonore Tröst,M,2016-08-01
31,Karl-Otto Lachmann,F,2022-05-16
32,Doreen Weinhage,F,2022-10-18
33,Ing. Harro Fechner B.A.,F,2022-10-14
34,Diedrich Briemer,F,2021-12-23
35,Thilo Pechel,M,2025-01-23
36,Wolf-Dietrich Adolph,M,2020-11-18
37,Dietrich Eckbauer-Blümel,M,2016-07-26
38,Philip Geisel-Berger,M,2019-10-03
39,Prof. Oscar Klemt MBA.,F,2021-08-01
40,Josef Rudolph,M,2026-01-09
41,Hildegund Kraus,M,2021-06-13
42,Berit Austermühle B.Sc.,M,2016-11-15
43,Ing. Rouven Mohaupt,M,2019-01-10
44,Raphael Eberhardt,F,2024-05-29
45,Karlheinz Beyer MBA.,M,2025-03-18
46,Patrik Kusch,M,2020-05-09
47,Irmgard Trupp,M,2021-04-25
48,Dirk Mohaupt,M,2020-06-17
49,Burghard Löffler B.Sc.,F,2025-08-24
50,Anka Fliegner,F,2018-07-21
51,Agnieszka Kreusel,M,2023-01-20
52,Carl Weihmann MBA.,M,2024-05-22
53,Vlado Stumpf,M,2024-01-05
54,Carola Höfig,M,2023-02-12
55,Prof. Rosemarie Hertrampf,F,2025-04-25
56,Hülya Jacob,F,2023-12-11
57,Dipl.-Ing. Irmtraut Kruschwitz,M,2019-12-25
58,Henri Schmiedecke,F,2023-11-24
59,Fredi Gehringer,M,2024-09-25
60,Adriane Bachmann,F,2023-04-23
61,Sergio Thanel,F,2016-03-20
62,Elma Grein Groth MBA.,M,2017-04-06
63,Univ.Prof. Ariane Bachmann MBA.,M,2021-04-09
64,Dr. Wolf Girschner,M,2018-07-27
65,Dr. Ilias Loos B.A.,M,2017-08-21
66,Sönke Häring-Tschentscher,F,2022-08-03
67,Angela Drub,M,2018-07-09
68,Hubert Nohlmans,F,2019-08-04
69,Kati Linke MBA.,M,2020-03-19
70,Alfonso Bähr,M,2016-12-13
71,Slavko Eberhardt,F,2025-01-14
72,Cathrin Seifert-Wagenknecht,F,2021-06-18
73,Prof. Ekkehart Schomber B.A.,F,2018-11-06
74,Friedhold Blümel,F,2025-09-26
75,Wibke Hecker-Christoph,M,2017-06-13
76,Magdalene Killer,F,2025-10-03
77,Marten Bähr,F,2022-12-05
78,Jessica Wirth,M,2021-03-14
79,Arzu Stumpf,M,2019-07-21
80,Univ.Prof. Othmar Rohleder B.A.,F,2018-04-15
81,Frau Marianne Weihmann B.Eng.,F,2025-07-17
82,Kathleen Schweitzer-Juncken,M,2018-11-29
83,Mahmut Riehl B.Sc.,F,2016-05-01
84,Milena Stey,F,2018-08-12
85,Karl Jessel,M,2019-02-24
86,Dr. Willibald Kusch B.Eng.,F,2017-12-08
87,Angelika Bolzmann MBA.,M,2026-01-27
88,Elfie Hein MBA.,M,2024-10-13
89,Andre Löchel,F,2022-10-11
90,Angela Kensy-Hornig,M,2019-10-12
91,Frau Cläre Mühle B.A.,F,2024-01-24
92,Jovan Förster,F,2016-12-15
93,Univ.Prof. Markus Nerger,F,2024-12-12
94,Univ.Prof. Lilo auch Schlauchin,F,2020-11-04
95,Heinz-Günther Täsche,F,2023-03-15
96,Janos Lübs,M,2016-05-21
97,Änne Schmidt-Klingelhöfer,F,2022-04-30
98,August Walter,F,2020-01-04
99,Prof. Kilian Ehlert,F,2024-10-05
100,Ilias Johann,F,2024-10-19
101,Dora Klingelhöfer,F,2021-03-11
102,Herr Klaus-Jürgen Nohlmans B.Eng.,F,2021-10-14
103,Murat Kostolzin B.A.,F,2018-05-26
104,Leonore Eimer,M,2017-04-18
105,Prof. Antonietta Plath,F,2021-03-07
106,Maurizio Mülichen,F,2023-01-10
107,Kirstin Löwer-Harloff,F,2019-05-13
108,Margrit Höfig,F,2018-09-02
109,Valerie Holt-Stahr,M,2024-02-25
110,Herr Hartmuth Wilmsen,F,2023-01-03
111,Gunther Wohlgemut-Karz,M,2021-11-04
112,Herr Adolf Gumprich B.Eng.,M,2021-06-14
113,Gudula Lachmann B.A.,F,2021-07-06
114,Lucia Dietz,M,2018-09-15
115,Janusz Pohl,F,2023-05-10
116,Ing. Karl-Heinrich Ritter B.A.,F,2019-08-24
117,Dipl.-Ing. Otmar Fröhlich,M,2025-05-18
118,Jolanta Ziegert B.A.,M,2025-07-10
119,Prof. Selma Striebitz B.A.,M,2019-01-19
120,Walter Roht,M,2017-07-17
121,Frau Tanja Noack MBA.,F,2017-01-20
122,Ada Hecker,F,2022-10-27
123,Herr Wolfram Noack,F,2019-01-04
124,Frau Jessica Jockel,M,2024-11-18
