sales_rep_key,rep_name,hire_date
1,Hans-Wolfgang Kostolzin MBA.,2021-06-16
2,Hansjürgen Kambs MBA.,2022-09-10
3,Lucia Boucsein,2024-01-05
4,Prof. Martine Jungfer B.Sc.,2023-01-05
5,Evelyne Jopich,2024-11-18
6,Univ.Prof. Danilo Schenk MBA.,2023-12-21
7,Ismail Jopich B.Eng.,2022-02-24
8,Justus Häring-Cichorius,2025-02-20
9,Babette Kruschwitz-Lindner,2022-03-12
10,Ing. Dittmar Zorbach B.Sc.,2021-05-14
11,Guntram Heser,2022-12-29
12,Josephine Gerlach-Hübel,2024-01-08
13,Irene Adolph B.Eng.,2023-01-04
14,Marica Ruppersberger,2023-08-02
15,Svea Beckmann,2019-01-29
16,Ing. Marcella Hiller,2025-09-18
17,Gisa Dehmel-Girschner,2026-01-24
18,Dipl.-Ing. Maritta Schwital,2025-08-04
19,Zenta Schenk,2024-08-02
20,Gitte Hecker B.Eng.,2025-04-18
21,Ing. Volkmar Kobelt MBA.,2018-12-24
22,Emin Jacobi Jäckel B.Eng.,2019-06-25
23,Babette Käster,2021-07-17
24,Curt Tlustek-Hamann,2023-09-15
25,Janina Kühnert,2024-12-06
26,Dipl.-Ing. Helmtrud Warmer,2018-06-17
27,Frau Charlotte Heydrich,2024-09-19
28,Erdogan Wohlgemut B.Eng.,2022-09-07
29,Hannah Neureuther,2020-03-26
30,Lia Wagenknecht-Warmer,2024-07-22
31,Hans-Gerd Steinberg-Gehringer,2024-05-15
32,Ronald Hörle,2024-12-12
33,Dipl.-Ing. Wladimir Hamann B.Eng.,2023-04-23
34,Prof. Andre Pohl,2023-04-13
35,Raimund Wagner,2025-08-22
36,Marlene Sorgatz-Pieper,2018-10-23
37,Svetlana Hesse,2021-07-17
38,Karolin Mälzer MBA.,2024-05-24
39,Heribert Bolnbach,2019-10-06
40,Hansgeorg Schmiedt,2022-06-03
41,Mehdi Rogge,2020-03-11
42,Nina Schleich-Ortmann,2026-01-17
43,Jann Trubin,2025-09-13
44,Olaf Drewes,2024-04-07
45,Elwira Bärer B.Eng.,2020-11-28
46,Kilian Bolzmann,2024-03-06
47,Mina Thanel,2022-10-30
48,Margitta Zirme,2022-12-24
49,Uwe Nerger,2019-02-20
50,Annelore Jockel-Eigenwillig,2020-06-23
51,Francoise Baum B.Eng.,2019-04-21
52,Dr. Jonas Stiffel,2021-01-11
53,Martin Mies B.Sc.,2020-10-19
54,Peer Heinz,2022-08-23
55,Dorle Christoph,2020-12-06
56,Alfred Becker,2022-08-14
57,Ing. Hans-Willi Beier,2020-08-28
58,Tillmann Flantz,2024-11-02
59,Ellen Stahr,2022-07-03
60,Tatjana Gieß MBA.,2023-05-28
61,Herr Massimo Käster B.Sc.,2024-05-12
62,Karl-Ernst Lübs,2022-04-06
63,Frank-Peter Stey,2021-08-31
64,Sabina Striebitz,2024-05-10
65,Zeljko Hamann,2021-10-04
66,Selim Kraushaar,2020-09-29
67,Dr. Slavko Klingelhöfer,2020-05-02
68,Rosalie Reichmann,2022-09-18
69,Dipl.-Ing. Violetta Scholtz B.Sc.,2022-03-10
70,Ing. Wilhelmine Wieloch,2022-06-20
71,Annelie Gertz,2025-10-10
72,Ing. Kasimir Kramer B.Sc.,2018-10-24
73,Pius Ortmann B.Sc.,2020-12-19
74,Hilmar Fechner-Hecker,2023-10-25
75,Emilia Trub-Zobel,2020-11-02
76,Bertold Henschel,2019-11-05
77,Frau Meral Jungfer MBA.,2024-12-07
78,Dr. Senta Scholl,2018-12-27
79,Univ.Prof. Gunhild Jacobi Jäckel MBA.,2022-03-22
80,Karsten Losekann,2025-11-16
81,Frank-Michael Kohl,2020-03-16
82,Juliane Henschel,2022-10-02
83,Helene Ullmann,2026-01-14
84,Dipl.-Ing. Johanna Kambs,2018-07-09
85,Dipl.-Ing. Raisa Mans,2022-08-06
86,Dörte Wagner,2022-05-19
87,Ottilie Kallert B.A.,2019-04-07
88,Enver Segebahn,2023-01-27
89,Tadeusz Schmidtke,2021-04-17
90,Calogero Kostolzin B.Sc.,2022-09-24
91,Beate Schüler-Köhler,2020-02-25
92,Birthe Warmer,2023-12-09
93,Kathi Gute-Mende,2019-09-06
94,Michel Harloff,2024-01-22
95,Anneke Rogner MBA.,2021-10-13
96,Herbert Hölzenbecher,2020-09-28
97,Muharrem Finke,2025-10-24
98,Ing. Felicitas Junken,2018-06-25
99,Dipl.-Ing. Dorina Stumpf,2021-03-10
100,Hans-Michael Gude B.Sc.,2021-04-01
101,Rocco Sorgatz-Etzold,2019-11-03
102,Steffen Bohlander B.Eng.,2025-03-29
103,Herr Andy Heinrich,2025-11-28
104,Herr Gerd Seifert,2022-02-07
105,Jacob Ullrich B.Sc.,2022-06-18
106,Dieter Heinrich,2025-06-28
107,Sarina Tintzmann B.A.,2019-10-10
108,Univ.Prof. Nadin Kensy B.Sc.,2024-02-02
109,Klaus-Werner Stiffel-Scholl,2018-10-25
110,Till Barth-Börner,2019-03-17
111,Agnes Weinhage B.Eng.,2020-01-16
112,Ing. Michaele Albers B.Eng.,2020-09-25
113,Univ.Prof. Fabienne Schleich B.Sc.,2018-07-25
114,Enrico Schleich,2025-07-26
115,Eckard Langern-Sager,2019-05-30
116,Luitgard Henck,2021-07-19
117,Reginald Löwer-Rörricht,2022-07-14
118,Prof. Ahmed Stroh B.Sc.,2019-12-18
119,Walther Hering B.A.,2023-11-18
120,Univ.Prof. Irena Weinhold,2024-10-23
121,Wieslaw Tintzmann MBA.,2024-04-20
122,Frieder Ortmann,2018-09-23
123,Laszlo Hövel,2023-07-21
124,Frau Thekla Staude,2025-03-31
125,Janos Dörschner,2023-12-05
126,Hans-Uwe Thies,2023-04-30
127,Maria-Luise Flantz,2025-10-23
128,Dr. Vitus Heinz,2024-07-22
129,Univ.Prof. Johanne Sager B.Eng.,2018-09-04
130,Marius Seip B.A.,2023-11-17
131,Milos Römer,2018-07-03
132,Valerij Albers,2022-12-17
133,Dr. Ottmar Faust MBA.,2022-01-05
134,Karen Hellwig B.Sc.,2020-07-26
135,Elvira Ebert,2018-11-22
136,Gerhart Wesack B.Eng.,2018-03-20
137,Elfi Neureuther,2020-03-03
138,Lilo Werner,2020-07-01
139,Prof. Georgine Rogner B.Eng.,2020-07-26
140,Frau Carolin Hande B.A.,2021-12-21
141,Artur Blümel B.Sc.,2022-03-22
142,Kornelius Davids,2021-02-27
143,Univ.Prof. Knut Martin B.A.,2018-04-02
144,Ing. Tomasz Conradi B.Sc.,2025-08-05
145,Silvio Jacobi Jäckel-Fechner,2023-07-10
146,Lissy Striebitz,2020-12-14
147,André Kohl,2021-04-15
148,Prof. Evelyne Holzapfel,2024-04-07
149,Reinhild Ziegert MBA.,2025-05-01
150,Frau Marliese Möchlichen,2024-06-19
151,Mechtild Gotthard MBA.,2025-07-29
152,Gerard Geißler,2019-03-04
153,Ing. Reinhild Tröst B.Sc.,2024-04-24
154,Moritz Jessel,2018-08-19
155,Jorge Vogt,2018-09-04
156,Tülay Scheel,2025-09-30
157,Andre Kraushaar B.Eng.,2023-04-02
158,Dipl.-Ing. Krista Fritsch B.Eng.,2018-12-10
