account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,Aleksandr Weihmann,1,Kleingewerbe,Energy,EichenWeg 27,Hamburg,North,20792,Partner,2808530,10,2023-02-08
ACC000002,Eleni Hauffer,2,Privatkunde,Energy,GoetheWeg 60,Hannover,North,30617,Interessent,492037,1,2020-09-28
ACC000003,Paul Dobes-Stey,3,Privatkunde,Energy,RathausWeg 115,Hannover,North,30703,Kunde,338350,1,2023-09-23
ACC000004,Klemens Löchel,4,Kleingewerbe,Energy,RathausAllee 72,Köln,West,50259,Kunde,1803211,50,2021-10-08
ACC000005,Alexandre Davids,5,Privatkunde,Energy,SchillerAllee 89,Nürnberg,South,90718,Interessent,206202,1,2021-06-11
ACC000006,Eric Pärtzelt B.Sc.,6,Kleingewerbe,Energy,SchillerPlatz 21,Köln,West,50665,Partner,674294,100,2020-05-04
ACC000007,Orhan Seip MBA.,7,Privatkunde,Energy,TalWeg 18,Bonn,West,53146,Interessent,425153,1,2022-08-29
ACC000008,Meister KG,8,Gewerbekunde,Energy,SchillerPlatz 72,Nürnberg,South,90564,Kunde,3777107,10,2021-05-08
ACC000009,Rosalinde Albers,9,Privatkunde,Energy,BirkenGasse 19,Düsseldorf,West,40723,Partner,154486,1,2022-10-22
ACC000010,Univ.Prof. Heimo Karge,10,Kleingewerbe,Energy,SchulPlatz 70,Freiburg,South,79755,Interessent,1959808,50,2023-02-13
ACC000011,Carolin Hande,11,Privatkunde,Energy,EichenStraße 81,Ulm,South,89510,Interessent,450948,1,2020-04-10
ACC000012,Auguste Davids,12,Privatkunde,Energy,TannenWeg 128,Köln,West,50505,Interessent,97023,1,2020-01-07
ACC000013,Ariane Klemt-Kaul,13,Privatkunde,Energy,BergRing 68,Dresden,East,01864,Interessent,87420,1,2021-08-05
ACC000014,Rosalia Beyer,14,Privatkunde,Energy,MozartRing 127,Magdeburg,East,39193,Partner,71404,1,2023-02-05
ACC000015,Kathrin Ebert MBA.,15,Privatkunde,Energy,RathausRing 17,Hamburg,North,20494,Partner,34948,1,2021-03-08
ACC000016,Rohleder GmbH,16,Gewerbekunde,Energy,BirkenRing 3,Magdeburg,East,39796,Interessent,3604377,25,2022-05-15
ACC000017,Leonie Gröttner,17,Kleingewerbe,Energy,TannenStraße 76,Rostock,North,18545,Partner,2916632,50,2021-04-19
ACC000018,Anatoli Speer,18,Privatkunde,Energy,WaldWeg 130,Augsburg,South,86208,Kunde,386408,1,2020-06-04
ACC000019,Ing. Arnulf Heintze B.Sc.,19,Privatkunde,Energy,MozartAllee 42,Bonn,West,53652,Interessent,767,1,2020-10-17
ACC000020,Erika Metz-Schuster,20,Privatkunde,Energy,SchillerAllee 79,Hannover,North,30345,Kunde,171369,1,2021-09-12
ACC000021,Cathrin Koch II,21,Kleingewerbe,Energy,GoetheGasse 125,Bremen,North,28935,Partner,4009825,10,2023-04-02
ACC000022,Delia Steckel,22,Kleingewerbe,Energy,ParkRing 43,Hannover,North,30371,Partner,1597500,10,2020-01-07
ACC000023,Tintzmann Stoll KGaA,23,Gewerbekunde,Energy,RosenPlatz 96,Dresden,East,01548,Partner,1546100,25,2022-12-09
ACC000024,Leif Schuster,24,Privatkunde,Energy,TannenStraße 142,Berlin,East,10335,Partner,81895,1,2021-05-12
ACC000025,Prof. Ottokar Henschel,25,Privatkunde,Energy,EichenStraße 9,München,South,80980,Partner,322941,1,2021-11-08
ACC000026,Dipl.-Ing. Hans-Herbert Hiller,26,Privatkunde,Energy,ParkWeg 139,Köln,West,50235,Partner,84527,1,2023-05-16
ACC000027,Univ.Prof. Gotthilf Wilmsen B.Sc.,27,Kleingewerbe,Energy,LindenStraße 25,Dresden,East,01774,Partner,2603634,50,2022-07-25
ACC000028,Herr Romuald Jopich MBA.,28,Privatkunde,Energy,BahnhofGasse 26,Leipzig,East,04162,Kunde,430705,1,2021-08-15
ACC000029,Anne-Katrin Hahn,29,Privatkunde,Energy,EichenWeg 49,Chemnitz,East,09649,Partner,344289,1,2022-12-22
ACC000030,Diana Sölzer,30,Privatkunde,Energy,SchulWeg 20,Dresden,East,01553,Kunde,416780,1,2023-08-16
ACC000031,Dipl.-Ing. Svea Seifert MBA.,31,Privatkunde,Energy,HauptStraße 61,Hamburg,North,20270,Interessent,285099,1,2021-11-30
ACC000032,Franjo Etzold-Hentschel,32,Privatkunde,Energy,BahnhofWeg 98,Potsdam,East,14102,Partner,213169,1,2023-11-26
ACC000033,Rörricht,33,Gewerbekunde,Energy,RosenPlatz 143,Leipzig,East,04777,Partner,669543,5,2020-05-16
ACC000034,Nathalie Sauer,34,Privatkunde,Energy,BahnhofRing 139,Dresden,East,01162,Kunde,332827,1,2020-05-05
ACC000035,Prof. Heiderose Klotz,35,Privatkunde,Energy,WaldRing 41,Köln,West,50158,Kunde,77710,1,2023-08-25
ACC000036,Dr. Jaroslaw Nohlmans B.Sc.,36,Privatkunde,Energy,EichenPlatz 31,Bremen,North,28683,Interessent,22226,1,2020-07-15
ACC000037,Steffen Dörschner,37,Privatkunde,Energy,GoethePlatz 150,Freiburg,South,79678,Partner,193180,1,2020-01-06
ACC000038,Lukas Freudenberger-Zorbach,38,Privatkunde,Energy,EichenAllee 102,Dortmund,West,44234,Partner,175941,1,2020-08-14
ACC000039,Prof. Anne Krause,39,Privatkunde,Energy,HauptPlatz 145,Essen,West,45202,Partner,420799,1,2022-12-11
ACC000040,Lilli Mosemann-Rädel,40,Privatkunde,Energy,MozartAllee 18,Hannover,North,30350,Partner,116249,1,2020-06-22
ACC000041,Yasmin Röhrdanz,41,Privatkunde,Energy,RosenRing 136,Dortmund,West,44108,Interessent,396035,1,2022-11-02
ACC000042,Milos Ullmann,42,Privatkunde,Energy,BirkenStraße 28,Bonn,West,53860,Partner,96520,1,2022-02-23
ACC000043,Mirco Reising,43,Privatkunde,Energy,TannenWeg 68,Nürnberg,South,90617,Partner,321749,1,2023-11-22
ACC000044,Wilmsen Segebahn GmbH,44,Gewerbekunde,Energy,GoetheGasse 109,Leipzig,East,04949,Partner,3150968,10,2021-04-26
ACC000045,Gabriel Lübs,45,Privatkunde,Energy,BirkenWeg 114,Köln,West,50664,Interessent,282033,1,2021-06-16
ACC000046,Dipl.-Ing. Abraham Ullmann,46,Privatkunde,Energy,MozartRing 10,Magdeburg,East,39954,Interessent,47101,1,2020-03-20
ACC000047,Yvette Otto,47,Privatkunde,Energy,MozartStraße 79,Duisburg,West,47473,Partner,312353,1,2021-08-22
ACC000048,Prof. Urban Döring,48,Privatkunde,Energy,SchillerAllee 144,Kiel,North,24995,Kunde,416456,1,2020-11-13
ACC000049,Sibilla Schwital,49,Kleingewerbe,Energy,BeethovenWeg 106,Magdeburg,East,39125,Interessent,808999,5,2022-04-27
ACC000050,Schlosser,50,Gewerbekunde,Energy,EichenAllee 41,Ulm,South,89906,Kunde,1836662,5,2022-08-28
ACC000051,Cornelius Köster B.A.,51,Kleingewerbe,Energy,EichenWeg 118,Lübeck,North,23458,Interessent,3256513,10,2022-01-12
ACC000052,Krzysztof Junitz,52,Privatkunde,Energy,MarktAllee 72,Düsseldorf,West,40985,Partner,471631,1,2023-12-26
ACC000053,Frau Beate Klotz B.Eng.,53,Privatkunde,Energy,MarktGasse 138,Kiel,North,24439,Partner,400941,1,2023-02-24
ACC000054,Herr Ernst-Otto Rosenow B.Sc.,54,Kleingewerbe,Energy,BeethovenRing 68,Hamburg,North,20139,Kunde,1295986,5,2023-11-17
ACC000055,Pascal Neureuther,55,Privatkunde,Energy,RathausRing 131,Hannover,North,30218,Partner,266631,1,2021-10-30
ACC000056,Raimund Reichmann,56,Privatkunde,Energy,RathausStraße 134,Magdeburg,East,39925,Kunde,67358,1,2022-12-12
ACC000057,Carlo Sorgatz-Mülichen,57,Privatkunde,Energy,SeeAllee 32,Nürnberg,South,90837,Interessent,401301,1,2021-09-05
ACC000058,Ing. Jose auch Schlauchin,58,Privatkunde,Energy,TannenPlatz 76,Duisburg,West,47667,Kunde,102788,1,2023-06-30
ACC000059,Dr. Uschi Reuter,59,Privatkunde,Energy,BeethovenRing 146,Stuttgart,South,70408,Interessent,268824,1,2021-06-02
ACC000060,Olaf Jockel MBA.,60,Kleingewerbe,Energy,RosenWeg 111,Magdeburg,East,39904,Interessent,1076445,50,2022-06-22
ACC000061,Imelda Plath,61,Privatkunde,Energy,WaldPlatz 44,Essen,West,45774,Partner,116530,1,2023-01-03
ACC000062,Bertha Hentschel B.A.,62,Privatkunde,Energy,TannenStraße 61,Kiel,North,24788,Interessent,21578,1,2020-04-19
ACC000063,Gunther Bärer,63,Kleingewerbe,Energy,HauptStraße 63,Düsseldorf,West,40586,Partner,856745,50,2023-10-30
ACC000064,Prof. Emil Albers B.Sc.,64,Privatkunde,Energy,LindenGasse 99,Lübeck,North,23606,Partner,104968,1,2021-07-07
ACC000065,Erdal Börner,65,Privatkunde,Energy,SchillerPlatz 57,Dresden,East,01280,Kunde,455599,1,2023-04-19
ACC000066,Stefano Kabus,66,Privatkunde,Energy,SchulWeg 119,Berlin,East,10783,Interessent,1835,1,2022-05-04
ACC000067,Jiri Hellwig,67,Privatkunde,Energy,RathausRing 115,Essen,West,45262,Interessent,186144,1,2021-08-15
ACC000068,Marie-Luise Neureuther,68,Privatkunde,Energy,BirkenRing 125,Potsdam,East,14741,Partner,58825,1,2022-12-17
ACC000069,Juri Eigenwillig MBA.,69,Privatkunde,Energy,EichenAllee 86,Nürnberg,South,90427,Kunde,357214,1,2020-07-20
ACC000070,Dipl.-Ing. Ronald Ladeck B.A.,70,Privatkunde,Energy,MozartGasse 55,Bremen,North,28165,Partner,9084,1,2021-07-06
ACC000071,Benedikt Sorgatz,71,Privatkunde,Energy,RathausStraße 53,Potsdam,East,14952,Partner,404193,1,2023-12-06
ACC000072,Klapp Löchel GmbH & Co. KG,72,Gewerbekunde,Energy,HauptRing 98,Potsdam,East,14588,Partner,3995210,5,2022-04-15
ACC000073,Solveig Vollbrecht B.Sc.,73,Privatkunde,Energy,RathausRing 140,Kiel,North,24919,Interessent,402535,1,2022-04-17
ACC000074,Ante Kusch,74,Privatkunde,Energy,ParkStraße 100,Augsburg,South,86444,Kunde,338860,1,2023-03-12
ACC000075,Ria Dörr,75,Privatkunde,Energy,MozartRing 137,Chemnitz,East,09127,Interessent,106971,1,2022-09-28
ACC000076,Dr. Donald Reising MBA.,76,Privatkunde,Energy,GoetheGasse 110,Magdeburg,East,39238,Kunde,5766,1,2023-05-22
ACC000077,Heimo Gnatz-Holsten,77,Privatkunde,Energy,TannenWeg 117,Dresden,East,01434,Kunde,74690,1,2020-12-08
ACC000078,Elfie Bruder MBA.,78,Privatkunde,Energy,BirkenStraße 121,Essen,West,45119,Partner,491413,1,2022-08-31
ACC000079,Andrei Siering,79,Privatkunde,Energy,BahnhofStraße 64,Kiel,North,24304,Interessent,40165,1,2022-12-13
ACC000080,Zbigniew Davids,80,Privatkunde,Energy,ParkGasse 30,Hannover,North,30677,Interessent,327840,1,2020-10-14
ACC000081,Dr. Hansjürgen Neureuther MBA.,81,Privatkunde,Energy,BeethovenRing 30,Augsburg,South,86896,Interessent,250236,1,2022-09-19
ACC000082,Steven Kühnert B.Sc.,82,Privatkunde,Energy,RosenRing 97,Nürnberg,South,90506,Kunde,16459,1,2023-11-22
ACC000083,Dipl.-Ing. Abdullah Krebs,83,Privatkunde,Energy,SchillerGasse 78,München,South,80970,Kunde,105939,1,2021-03-09
ACC000084,Ursula Ziegert,84,Kleingewerbe,Energy,BergPlatz 95,Hannover,North,30170,Interessent,1776622,5,2020-05-31
ACC000085,Eva Löchel MBA.,85,Kleingewerbe,Energy,SchillerPlatz 93,Köln,West,50750,Kunde,823031,5,2021-09-02
ACC000086,Donald Hübel-Harloff,86,Privatkunde,Energy,WaldGasse 70,Chemnitz,East,09730,Interessent,83974,1,2021-09-19
ACC000087,Klaus Wähner,87,Privatkunde,Energy,BirkenAllee 63,Potsdam,East,14950,Partner,459539,1,2020-06-23
ACC000088,Peter-Michael Johann,88,Kleingewerbe,Energy,SchulRing 98,Kiel,North,24444,Kunde,2581052,10,2021-11-14
ACC000089,Andrei Sauer,89,Kleingewerbe,Energy,ParkWeg 91,Lübeck,North,23916,Interessent,3195249,25,2023-01-20
ACC000090,Prof. Trudi Radisch B.A.,90,Privatkunde,Energy,BirkenRing 3,Dortmund,West,44629,Kunde,133483,1,2022-10-30
ACC000091,Wolf-Dietrich Pechel,91,Privatkunde,Energy,ParkRing 62,München,South,80807,Kunde,406643,1,2021-02-03
ACC000092,Simon Gotthard,92,Kleingewerbe,Energy,HauptStraße 76,Chemnitz,East,09326,Partner,3587696,100,2020-09-21
ACC000093,Konstantinos Börner,93,Privatkunde,Energy,KirchPlatz 142,Chemnitz,East,09643,Interessent,46488,1,2020-05-24
ACC000094,Heinz,94,Gewerbekunde,Energy,TannenAllee 117,Essen,West,45377,Interessent,3227495,25,2020-09-28
ACC000095,Berta Roskoth-Hentschel,95,Privatkunde,Energy,TannenStraße 138,Dortmund,West,44880,Kunde,128228,1,2021-03-16
ACC000096,Lorenzo Butte,96,Privatkunde,Energy,BirkenGasse 135,Stuttgart,South,70711,Interessent,374974,1,2023-11-12
ACC000097,Univ.Prof. Lidia Rosemann,97,Kleingewerbe,Energy,EichenAllee 46,Köln,West,50409,Partner,3288342,100,2020-06-06
ACC000098,Valeria Heß,98,Privatkunde,Energy,BahnhofStraße 142,Rostock,North,18399,Partner,209412,1,2022-11-12
ACC000099,Mesut Trubin B.Eng.,99,Kleingewerbe,Energy,SchillerStraße 147,Ulm,South,89391,Interessent,3975804,50,2022-05-11
ACC000100,Ing. Hans-Theo Eigenwillig B.Eng.,100,Privatkunde,Energy,BahnhofAllee 123,Potsdam,East,14216,Partner,34750,1,2021-12-01
ACC000101,Freya Weitzel B.Sc.,101,Privatkunde,Energy,BahnhofWeg 39,Lübeck,North,23930,Partner,16542,1,2023-11-21
ACC000102,Mielcarek KG,102,Gewerbekunde,Energy,BergPlatz 58,Köln,West,50894,Interessent,4363065,5,2020-05-15
ACC000103,Ditschlerin,103,Gewerbekunde,Energy,TalPlatz 79,Potsdam,East,14682,Partner,2182950,25,2022-12-05
ACC000104,Renner AG & Co. OHG,104,Gewerbekunde,Energy,LindenGasse 55,Hannover,North,30370,Interessent,3435827,50,2023-03-17
ACC000105,Birthe Keudel,105,Privatkunde,Energy,GoetheWeg 1,Bremen,North,28518,Partner,293417,1,2022-04-21
ACC000106,Theodor Henschel,106,Privatkunde,Energy,BahnhofWeg 74,Chemnitz,East,09823,Interessent,408984,1,2023-08-31
ACC000107,Eugenie Franke,107,Kleingewerbe,Energy,EichenAllee 51,Bonn,West,53535,Kunde,4713187,100,2021-01-10
ACC000108,Sarina Ring B.Eng.,108,Privatkunde,Energy,BirkenWeg 19,Hannover,North,30161,Kunde,157639,1,2020-10-24
ACC000109,Meinolf Röhrdanz,109,Privatkunde,Energy,RosenPlatz 32,Nürnberg,South,90579,Partner,494032,1,2021-10-24
ACC000110,Valentina Spieß,110,Privatkunde,Energy,WaldRing 127,Bonn,West,53548,Interessent,463423,1,2020-05-27
ACC000111,Walter Eimer,111,Privatkunde,Energy,TannenRing 65,Hannover,North,30126,Kunde,121941,1,2022-08-23
ACC000112,Drub Döring Stiftung & Co. KGaA,112,Gewerbekunde,Energy,TalStraße 69,Bremen,North,28690,Kunde,3773166,50,2022-05-12
ACC000113,Franz-Peter Holzapfel-Schleich,113,Privatkunde,Energy,BirkenWeg 150,Bremen,North,28546,Partner,127053,1,2021-06-17
ACC000114,Ortwin Karz B.A.,114,Privatkunde,Energy,TannenAllee 27,Berlin,East,10978,Interessent,295200,1,2020-12-11
ACC000115,Jolanda Niemeier,115,Privatkunde,Energy,RosenGasse 103,Nürnberg,South,90933,Partner,84107,1,2022-03-27
ACC000116,Thekla Birnbaum,116,Privatkunde,Energy,TannenStraße 104,Lübeck,North,23985,Kunde,39480,1,2020-01-22
ACC000117,Manfred Löchel,117,Kleingewerbe,Energy,RathausStraße 49,Rostock,North,18630,Interessent,1419965,5,2022-12-09
ACC000118,Angela Adler,118,Kleingewerbe,Energy,BahnhofWeg 69,Duisburg,West,47662,Kunde,3236194,25,2020-12-09
ACC000119,Patricia Ehlert,119,Privatkunde,Energy,SchillerStraße 62,Nürnberg,South,90826,Interessent,173957,1,2021-11-22
ACC000120,Cathleen Weihmann,120,Privatkunde,Energy,RathausStraße 58,Nürnberg,South,90961,Interessent,50870,1,2020-02-05
ACC000121,Rohleder Trapp GmbH & Co. KG,121,Gewerbekunde,Energy,ParkGasse 75,Lübeck,North,23621,Kunde,3601417,25,2021-04-03
ACC000122,Bertram Bruder,122,Kleingewerbe,Energy,EichenPlatz 142,Essen,West,45248,Partner,1428273,25,2022-12-10
ACC000123,Fischer,123,Gewerbekunde,Energy,MozartStraße 71,Dresden,East,01891,Partner,1136364,5,2021-04-16
ACC000124,Beier,124,Gewerbekunde,Energy,BirkenStraße 73,Leipzig,East,04843,Kunde,3278479,100,2023-11-10
ACC000125,Liane Rohleder,125,Privatkunde,Energy,MozartPlatz 138,Duisburg,West,47595,Interessent,403354,1,2021-04-09
ACC000126,Heinz-Dieter Eckbauer-Berger,126,Privatkunde,Energy,MarktPlatz 83,Dortmund,West,44990,Kunde,91024,1,2021-09-14
ACC000127,Gretel Benthin,127,Privatkunde,Energy,EichenPlatz 12,Ulm,South,89425,Kunde,140553,1,2020-10-21
ACC000128,Häring Stoll GbR,128,Gewerbekunde,Energy,MarktGasse 39,Chemnitz,East,09607,Kunde,1068590,100,2022-09-08
ACC000129,Hans D. Zahn,129,Privatkunde,Energy,TannenStraße 113,Bremen,North,28202,Kunde,138701,1,2021-03-06
ACC000130,Prof. Nermin Förster,130,Kleingewerbe,Energy,MozartStraße 121,Berlin,East,10900,Kunde,1500444,100,2020-11-24
ACC000131,Dr. Zoran Gierschner MBA.,131,Privatkunde,Energy,GoetheAllee 137,Dortmund,West,44489,Partner,4539,1,2022-10-14
ACC000132,Dietrich Walter,132,Kleingewerbe,Energy,BergStraße 18,Bonn,West,53340,Kunde,372682,50,2023-11-07
ACC000133,Radmila Langern,133,Kleingewerbe,Energy,SchillerGasse 26,Düsseldorf,West,40554,Interessent,4313241,25,2022-06-02
ACC000134,Ing. Daniel Zirme B.Sc.,134,Privatkunde,Energy,BahnhofAllee 15,Ulm,South,89400,Partner,89418,1,2023-11-07
ACC000135,Steffi Bender-Möchlichen,135,Privatkunde,Energy,WaldPlatz 145,Dortmund,West,44798,Partner,189875,1,2023-11-11
ACC000136,Dr. Rüdiger Mies B.Eng.,136,Privatkunde,Energy,MarktRing 62,Stuttgart,South,70609,Partner,358909,1,2023-07-28
ACC000137,Roswitha Heidrich,137,Privatkunde,Energy,SchulAllee 3,Stuttgart,South,70923,Partner,357153,1,2021-07-09
ACC000138,Herr Maurizio Gröttner MBA.,138,Privatkunde,Energy,GoethePlatz 89,Leipzig,East,04701,Interessent,399503,1,2023-09-19
ACC000139,Holsten Bohnbach e.G.,139,Gewerbekunde,Energy,SchulAllee 51,Bonn,West,53493,Interessent,3511394,25,2020-10-12
ACC000140,Gina Segebahn,140,Privatkunde,Energy,KirchRing 76,Berlin,East,10816,Partner,68654,1,2021-05-23
ACC000141,Kuhl,141,Gewerbekunde,Energy,BirkenStraße 145,Köln,West,50985,Kunde,2471470,100,2021-10-13
ACC000142,Vera Baum,142,Kleingewerbe,Energy,EichenRing 91,Hannover,North,30324,Interessent,996355,10,2020-05-04
ACC000143,Theo Heß,143,Privatkunde,Energy,SchillerGasse 11,Freiburg,South,79416,Kunde,228179,1,2021-06-07
ACC000144,Prof. Wolfgang Hettner,144,Privatkunde,Energy,GoetheAllee 84,Berlin,East,10865,Interessent,289435,1,2021-01-15
ACC000145,Bert Schenk,145,Privatkunde,Energy,KirchRing 129,Dresden,East,01379,Interessent,412247,1,2023-12-17
ACC000146,Kaul Vollbrecht e.V.,146,Gewerbekunde,Energy,RosenGasse 87,Nürnberg,South,90923,Partner,2796722,100,2020-12-20
ACC000147,Mälzer auch Schlauchin GmbH & Co. OHG,147,Gewerbekunde,Energy,EichenGasse 102,Lübeck,North,23966,Partner,1442332,25,2022-07-21
ACC000148,Hans-Josef Rust,148,Kleingewerbe,Energy,BirkenRing 32,Köln,West,50565,Kunde,3627644,25,2022-01-08
ACC000149,Ferdinand Beyer MBA.,149,Kleingewerbe,Energy,TalPlatz 96,Bonn,West,53210,Partner,4904420,10,2023-08-06
